title_romaji,title_english,meanScore,R_expected,OI,Interpretation
Meitantei Conan: Conan to Kid to Crystal Mother,Case Closed: Conan and Kid and Crystal Mother,72.0,56.71062350027333,15.289376499726671,Overrated
Shinobi no Susume,An Encouragement of Ninja,75.0,59.77930417965098,15.220695820349022,Overrated
Motivation ga Shinderu,Motivation is Dead,65.0,49.832375844022195,15.167624155977805,Overrated
Sore Ike! Anpanman: Omocha no Hoshi no Nanda to Runda,Anpanman: Nanda and Runda from the Star of Toys,62.0,46.97440413461437,15.025595865385633,Overrated
Legendz: Yomigaeru Ryuuou Densetsu,Legendz: Tale of the Dragon Kings,74.0,59.001442426633666,14.998557573366334,Overrated
Shimajirou no Wow!,Shimajiro: A Wonderful Adventure,51.0,36.00332048409777,14.99667951590223,Overrated
Luo Xiaohei Zhan Ji 2,The Legend of Hei 2,86.0,71.04595138440523,14.954048615594772,Overrated
Yume no Hoshi no Button Nose,Dream Star Button Nose,68.0,53.07108043420213,14.92891956579787,Overrated
IDOLiSH7: Second BEAT!,IDOLiSH7 Second BEAT!,81.0,66.09214067766645,14.90785932233355,Overrated
Soukyuu no Fafner: Dead Aggressor - THE BEYOND Part 4,Fafner THE BEYOND Part 4,76.0,61.101499615437405,14.898500384562595,Overrated
3-gatsu no Lion 2nd Season,March comes in like a lion Season 2,89.0,74.10205306956804,14.897946930431957,Overrated
Soukou Kihei Votoms: The Last Red Shoulder,Armored Trooper Votoms: The Last Red Shoulder,72.0,57.160357969986876,14.839642030013124,Overrated
Shishigari,Shishigari,73.0,58.16741461847536,14.832585381524638,Overrated
Mahoujin Guru Guru (2017),MAGICAL CIRCLE GURU-GURU,76.0,61.193503684135386,14.806496315864614,Overrated
Doraemon: Nobita no Makai Daibouken,Doraemon: Nobita's Great Adventure in the World of Magic,70.0,55.19757282678277,14.802427173217232,Overrated
"Aishite, Aishite, Aishite","Love Me, Love Me, Love Me",72.0,57.20443524064024,14.795564759359763,Overrated
Mini Teukgongdae X,Mini Force X,60.0,45.22714781102135,14.772852188978653,Overrated
Ultraman Kids no Kotowaza Monogatari,Ultraman Kids' Proverb Stories,68.0,53.23051468612728,14.769485313872721,Overrated
Shin Getter Robo vs. Neo Getter Robo,Shin Getter Robo vs. Neo Getter Robo,72.0,57.262459886460064,14.737540113539936,Overrated
Mahou no nai Sekai de Ikiru to Iu Koto,Living in a world without magic,77.0,62.27302958308123,14.726970416918768,Overrated
Nu Ta,SHe,65.0,50.29234794037629,14.707652059623712,Overrated
Haou Taikei Ryuu Knight: Adeu Legend,Lord of Lords Ryu Knight: Adeu's Legend,71.0,56.30253217175637,14.697467828243632,Overrated
Jiu Yang Wushen,Ascendants of the Nine Suns,76.0,61.3129546500589,14.687045349941101,Overrated
Nagagutsu wo Haita Neko: 80 Nichikan Sekai Isshuu,Puss-in-Boots: Travels Around the World in 80 Days,68.0,53.34180351617619,14.658196483823808,Overrated
IDOLiSH7 Vibrato,IDOLiSH7 Vibrato,79.0,64.36870485681317,14.631295143186833,Overrated
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Descending Stories: Showa Genroku Rakugo Shinju,86.0,71.39864508661832,14.601354913381684,Overrated
Love! Snow! Really Magic,Love! Snow! Really Magic,63.0,48.41238698060147,14.587613019398532,Overrated
Bokura wa Minna Imi Fumei,Nobody Makes Sense,71.0,56.43428500892924,14.565714991070763,Overrated
Fanren Xiu Xian Zhuan,A Record Of Mortal's Journey To Immortality,77.0,62.4400653957914,14.5599346042086,Overrated
Animal Yokochou,Animal Lane,68.0,53.44086848676856,14.559131513231442,Overrated
Nekketsu Saikyou Go-Saurer,Hot-Blooded Strongest Go-Saurer,75.0,60.45292881162911,14.547071188370893,Overrated
Thunderbolt Fantasy: Touriken Yuuki 4,Thunderbolt Fantasy Sword Seekers 4,77.0,62.45393764288107,14.546062357118927,Overrated
Little Village People,Little Village People,50.0,35.459857473586055,14.540142526413945,Overrated
NG Kishi Ramune & 40 DX: Wakuwaku Jikuu - Honoo no Daisousasen,NG Knight Lamune & 40 DX,71.0,56.499407546888975,14.500592453111025,Overrated
Hello Kitty no Stump Village,Hello Kitty: Stump Village,69.0,54.56689922616039,14.433100773839612,Overrated
Shixiong A Shixiong,Big Brother,78.0,63.572013896034875,14.427986103965125,Overrated
Hi no Tori: Yamato-hen,The Phoenix: Chapter of Yamato,68.0,53.57340572905522,14.426594270944783,Overrated
Tianbao Fuyao Lu 2,Legend of Exorcism 2,78.0,63.574703317078196,14.425296682921804,Overrated
Jingling Meng Ye Luoli,The Guardians of Carcosa,51.0,36.57820255084471,14.421797449155292,Overrated
Juusen Battle Monsuno (2013),Monsuno: Combat Chaos,62.0,47.62450159035724,14.37549840964276,Overrated
Corrector Yui 2,Corrector Yui Season 2,72.0,57.625654408562745,14.374345591437255,Overrated
Hikaru no Go: Tokubetsu-hen - Sabaki no Ikkyoku! Inishie no Hana yo Sake!!,Hikaru no Go Special,70.0,55.64246314218974,14.35753685781026,Overrated
Bakugan: Evolutions,Bakugan: Evolutions,73.0,58.64746771544638,14.352532284553618,Overrated
Pingu in the City,Pingu in the City,72.0,57.653704590108916,14.346295409891084,Overrated
Shen Yin Wangzuo,Throne of Seal,81.0,66.66432653205683,14.335673467943167,Overrated
Hanhua Riji,God Troubles Me,72.0,57.67972777382954,14.32027222617046,Overrated
Natsume Yuujinchou Shichi,Natsume's Book of Friends Season 7,85.0,70.6902437775217,14.309756222478299,Overrated
Jiyi Guanli Ju,False Memory,77.0,62.690492775316585,14.309507224683415,Overrated
Yuu☆Yuu☆Hakusho: Eizou Hakusho - Opening Ending Encyclopedia,Yu Yu Hakusho Opening & Ending Encyclopedia,67.0,52.69161297275844,14.308387027241558,Overrated
Ni Tian Jian Shen,The Fabulous Sword God,62.0,47.711992650277686,14.288007349722314,Overrated
Choegangjeonsa Mini Teukgongdae: Yeongungui Tansaeng,Mini Force: New Heroes Rise,56.0,41.7286197128695,14.271380287130498,Overrated
Ace wo Nerae! 2,Aim for the Ace!: Another Match,76.0,61.748113543585674,14.251886456414326,Overrated
Toushi Gordian,Gordian Warrior,72.0,57.7661965183977,14.233803481602301,Overrated
Dokkiri Doctor,Startling Doctor,72.0,57.77913743006518,14.220862569934823,Overrated
Garden,Garden,63.0,48.81004635242766,14.189953647572338,Overrated
Doraemon: Nobita to Kumo no Oukoku,Doraemon: Nobita and the Kingdom of Clouds,71.0,56.844247567073076,14.155752432926924,Overrated
Nemuri no Mori,Nemuri no Mori,61.0,46.8563922536162,14.1436077463838,Overrated
MONSTER,MONSTER,75.0,60.860983808488605,14.139016191511395,Overrated
"GEOBREEDERS 2: Mouryou Yuugekitai File-XX ""Ransen Toppa""",GEOBREEDERS: BREAKTHROUGH,66.0,51.89730628788128,14.102693712118722,Overrated
Owarimonogatari (Ge),Owarimonogatari Second Season,89.0,74.8973833983386,14.102616601661396,Overrated
Zhanguo Qiannian,Millenniums Of Warring States,71.0,56.92476882838184,14.075231171618157,Overrated
Nobara no Julie,Julie the Wild Rose,68.0,53.94748721454068,14.05251278545932,Overrated
Spookiz: Bimilgwaoe,Spookiz: The Movie,58.0,43.948671317446895,14.051328682553105,Overrated
Kagaku Ninja-Tai Gatchaman F,Eagle Riders (2),71.0,56.971566590406304,14.028433409593696,Overrated
Thunderbolt Fantasy: Touriken Yuuki - Saishuushou,Thunderbolt Fantasy Sword Seekers -The Finale-,79.0,64.98820462564616,14.011795374353838,Overrated
Dramaturgy,Dramaturgy,77.0,63.03007747654138,13.96992252345862,Overrated
Kaleido Star: Arata Naru Tsubasa EXTRA STAGE,Kaleido Star: New Wings Extra Stage,71.0,57.03659268929856,13.963407310701442,Overrated
ANI x PARA: Anata no Hero wa Dare desu ka,Animation × Paralympic: Who Is Your Hero?,60.0,46.08886560690847,13.91113439309153,Overrated
Zhiqu Yang Xuetang: Yundong Pian,Pleasant Goat Fun Class: Sports are Fun,55.0,41.104862793678585,13.895137206321415,Overrated
Catch! Tiniping,Catch! Teenieping: Fairies of Emotion,67.0,53.120642249130434,13.879357750869566,Overrated
Crayon Shin-chan: Buriburi Oukoku no Hihou,Crayon Shin-chan: The Hidden Treasure of the Buri Buri Kingdom,70.0,56.15402085288852,13.845979147111478,Overrated
Ganbare Goemon,Legend of the Mystical Ninja,71.0,57.17725204616022,13.82274795383978,Overrated
Xue Ying Lingzhu,Legendary Overlord,70.0,56.1819453859254,13.818054614074597,Overrated
11 Piki no Neko,Eleven Cats,68.0,54.19423680916871,13.805763190831293,Overrated
Sylvanian Families: Mini Story,Calico Critters: Mini Episodes,57.0,43.2413056127957,13.7586943872043,Overrated
Snow Halation,Snow Halation,75.0,61.288055803914936,13.711944196085064,Overrated
Go! Princess Precure,Go! Princess Precure,79.0,65.32039494903492,13.67960505096508,Overrated
Spookiz,Spookiz Season 1,54.0,40.324889543048,13.675110456951998,Overrated
Da Zhuzai (2023),The Great Ruler,77.0,63.33722167866648,13.66277832133352,Overrated
Genki Bakuhatsu Ganbaruger,Energetic Bomb Ganbaruger,75.0,61.33762536859006,13.66237463140994,Overrated
Shixiong A Shixiong 3,Big Brother 3,80.0,66.33853810458562,13.661461895414376,Overrated
Bai Yao Pu: Jingshi Pian,Fairies Albums S3,77.0,63.341797301226535,13.658202698773465,Overrated
Zhan Shuang Panini,Panini: Gray Raven,71.0,57.352440826693176,13.647559173306824,Overrated
Ginga Eiyuu Densetsu Gaiden: Rasen Meikyuu,Legend of the Galactic Heroes Gaiden: Spiral Labyrinth,78.0,64.35767581614223,13.642324183857767,Overrated
Hidamari Sketch x ☆☆☆ Specials,Hidamari Sketch x Hoshimittsu Specials,78.0,64.41122276860492,13.588777231395085,Overrated
